itime,date,time,devid,vd,type,subtype,action,agent,analyticscksum,analyticssubmit,app,appcat,appid,applist,apprisk,cat,catdesc,countapp,countav,countdlp,countweb,craction,crlevel,crscore,devname,devtype,direction,dstcountry,dstdevtype,dstintf,dstintfrole,dstip,dstmac,dstosname,,dstport,dstserver,dtime,dtype,duration,epoch,eventid,eventtype,fctuid,filename,filesize,filetype,filtercat,filteridx,filtertype,,hostname,incidentserialno,lanin,lanout,level,logid,logtime,logver,masterdstmac,mastersrcmac,method,msg,osname,osversion,policyid,policytype,poluuid,profile,proto,rcvdbyte,rcvdpkt,,reqtype,scertcname,,sentbyte,sentpkt,service,sessionid,severity,srccountry,srcintf,srcintfrole,srcip,srcmac,srcname,srcport,srcserver,,,trandisp,transip,transport,unauthuser,unauthusersource,url,utmaction,virus,wanin,wanout
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL""","""Network.Service""",15895,"""default""","""elevated""",,,,,,,,,,2ndFloor-FW,,,,,"""wan2""","""lan""",208.91.113.240,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635100,,,"""information""","""1059028704""",1506204643,56,,,,"""Network.Service: SSL,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227932,,,"""FOS-GUI-QA-VLAN""","""lan""",172.27.5.42,,,5254,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""Fortinet.Service""","""Business""",43273,"""default""","""low""",,,,,,,,,,2ndFloor-FW,,,,,"""FOS-GUI-QA-VLAN""","""lan""",208.91.113.240,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635101,,,"""information""","""1059028704""",1506204643,56,,,,"""Business: Fortinet.Service,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227932,,,"""wan2""","""lan""",172.27.5.42,,,5254,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL""","""Network.Service""",15895,"""default""","""elevated""",,,,,,,,,,2ndFloor-FW,,,,,"""wan2""","""lan""",208.91.113.240,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",702499689,,,"""information""","""1059028704""",1506204643,56,,,,"""Network.Service: SSL,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227933,,,"""FOS-GUI-QA-VLAN""","""lan""",172.27.5.42,,,5255,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""Fortinet.Service""","""Business""",43273,"""default""","""low""",,,,,,,,,,2ndFloor-FW,,,,,"""FOS-GUI-QA-VLAN""","""lan""",208.91.113.240,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",702499690,,,"""information""","""1059028704""",1506204643,56,,,,"""Business: Fortinet.Service,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227933,,,"""wan2""","""lan""",172.27.5.42,,,5255,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""traffic""","""forward""","""accept""",,,,"""Skype""","""Collaboration""",10,"""default""","""elevated""",,,1,,,,,,,2ndFloor-FW,"""Router/NAT Device""",,"""United States""","""Router/NAT Device""","""wan2""","""lan""",157.55.130.159,"""08:5b:0e:02:9e:3a""",,,40026,0,1506179443,,180,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204643,56,"""08:5b:0e:02:9e:3a""","""d4:be:d9:d7:87:2f""",,,,,7,"""policy""","""1e0f1e62-5dc1-51e6-9655-f89b296ad7d9""",,17,467,1,,,,,64,1,"""udp/40026""",42226221,,"""Reserved""","""FOS-GUI-QA-VLAN""","""lan""",172.27.5.10,"""d4:be:d9:d7:87:2f""",,40759,1,,,"""noop""",,,,,,"""allow""",,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""traffic""","""forward""","""timeout""",,,,,"""unscanned""",,,,,,,,,,262144,"""low""",5,2ndFloor-FW,"""Router/NAT Device""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",172.16.116.245,"""08:5b:0e:02:9e:3a""",,,514,0,1506179443,,25,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204643,56,"""08:5b:0e:02:9e:3a""","""90:6c:ac:07:d7:88""",,,,,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,6,0,0,,,,,300,5,"""RSH""",42227726,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.141,"""90:6c:ac:07:d7:88""",,63424,0,,,"""noop""",,,,,,,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""traffic""","""forward""","""timeout""",,,,,"""unscanned""",,,,,,,,,,262144,"""low""",5,2ndFloor-FW,"""Fortinet Device""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",172.16.116.245,"""08:5b:0e:02:9e:3a""",,,514,0,1506179443,,25,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204643,56,"""08:5b:0e:02:9e:3a""","""52:54:00:c7:f5:56""",,,"""FortiOS""",,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,6,0,0,,,,,300,5,"""RSH""",42227728,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.33,"""52:54:00:c7:f5:56""",,5690,0,,,"""noop""",,,,,,,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL""","""Network.Service""",15895,"""default""","""elevated""",,,,,,,,,,2ndFloor-FW,,,,,"""wan2""","""lan""",208.91.113.182,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635091,,,"""information""","""1059028704""",1506204643,56,,,,"""Network.Service: SSL,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227884,,,"""FOS-GUI-QA-VLAN""","""lan""",172.27.5.20,,,14522,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:43,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""Fortinet.Service""","""Business""",43273,"""default""","""low""",,,,,,,,,,2ndFloor-FW,,,,,"""FOS-GUI-QA-VLAN""","""lan""",208.91.113.182,,,,514,,1506179443,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635104,,,"""information""","""1059028704""",1506204643,56,,,,"""Business: Fortinet.Service,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227884,,,"""wan2""","""lan""",172.27.5.20,,,14522,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:44,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL""","""Network.Service""",15895,"""default""","""elevated""",,,,,,,,,,2ndFloor-FW,,,,,"""wan2""","""lan""",192.168.100.74,,,,514,,1506179444,,,,,"""app-ctrl-all""","""F72831409FE54C63A32FA90D2507BD3B""",,,,,,,,"""FSA1KD3A15000241""",702499686,,,"""information""","""1059028704""",1506204644,56,,,,"""Network.Service: SSL,""",,,3,,,,6,,,,,"""FSA1KD3A15000241""",,,,"""RSH""",42227925,,,"""lan""","""lan""",172.27.2.204,,,59712,,,,,,,"""Administrator""","""forticlient""","""/""",,,,
